group,symbol,ticker,strategy,fill_time_ns,fill_price,fill_qty,is_buy,mid_price_at_fill,toxicity_at_fill,adverse_measured,adverse_pnl,cancel_ratio,ping_ratio,odd_lot_ratio,precision_ratio,resistance_ratio,trade_flow_imbalance,spread_change_rate,price_momentum
13,354,VCEL,toxicity,1692718481990053541,32.3900,4,0,32.3800,0.0556,0,0.0000,0.0556,0.0000,0.2222,0.0000,0.0000,-1.0000,0.0000,0.0000
13,354,VCEL,baseline,1692718481990053541,32.3800,4,0,32.3800,0.0556,0,0.0000,0.0556,0.0000,0.2222,0.0000,0.0000,-1.0000,0.0000,0.0000
13,403,SRPT,toxicity,1692732460220024954,113.5300,55,1,113.5400,0.2099,0,0.0000,0.4383,0.0256,0.1964,0.0000,0.0000,0.6212,-0.7273,0.0005
13,403,SRPT,baseline,1692732460220024954,113.5300,55,1,113.5400,0.2099,0,0.0000,0.4383,0.0256,0.1964,0.0000,0.0000,0.6212,-0.7273,0.0005
13,403,SRPT,baseline,1692732460220051866,113.5300,28,1,113.5400,0.2099,0,0.0000,0.4383,0.0256,0.1964,0.0000,0.0000,0.6575,-0.7273,0.0005
13,427,BANR,toxicity,1692728375631593399,42.9200,13,1,42.9250,0.1106,1,-0.0409,0.1222,0.0667,0.3222,0.0000,0.0000,0.1183,-0.8276,0.0035
13,427,BANR,baseline,1692728375631593399,42.9200,13,1,42.9250,0.1106,1,-0.0409,0.1222,0.0667,0.3222,0.0000,0.0000,0.1183,-0.8276,0.0035
13,427,BANR,baseline,1692732287398210641,42.8200,19,0,42.8200,0.0854,0,0.0000,0.0000,0.0833,0.4583,0.0000,0.0000,-0.3056,-0.7241,0.0011
13,660,CASY,toxicity,1692732166062777577,244.7200,1,1,244.7300,0.1790,1,-0.0003,0.2353,0.1167,0.4103,0.0000,0.0000,1.0000,-0.7879,-0.0027
13,660,CASY,baseline,1692732166062777577,244.7200,1,1,244.7300,0.1790,1,-0.0003,0.2353,0.1167,0.4103,0.0000,0.0000,1.0000,-0.7879,-0.0027
13,703,CCNE,toxicity,1692717397933444984,17.7100,3,0,17.7050,0.1875,0,0.0000,0.0833,0.3333,0.4167,0.0000,0.2500,-1.0000,0.0833,0.0003
13,703,CCNE,toxicity,1692717397933444984,17.7100,7,0,17.7050,0.1875,0,0.0000,0.0833,0.3333,0.4167,0.0000,0.2500,-1.0000,0.0833,0.0003
13,703,CCNE,baseline,1692717397933444984,17.7100,3,0,17.7050,0.1875,0,0.0000,0.0833,0.3333,0.4167,0.0000,0.2500,-1.0000,0.0833,0.0003
13,703,CCNE,baseline,1692717397933444984,17.7100,7,0,17.7050,0.1875,0,0.0000,0.0833,0.3333,0.4167,0.0000,0.2500,-1.0000,0.0833,0.0003
13,754,CFFN,toxicity,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.0063,0.0000,0.0050
13,754,CFFN,toxicity,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.1173,0.0000,0.0050
13,754,CFFN,toxicity,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.2060,0.0000,0.0050
13,754,CFFN,toxicity,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.2785,0.0000,0.0050
13,754,CFFN,baseline,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.0063,0.0000,0.0050
13,754,CFFN,baseline,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.1173,0.0000,0.0050
13,754,CFFN,baseline,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.2060,0.0000,0.0050
13,754,CFFN,baseline,1692717590014325149,6.0300,100,1,6.0350,0.1580,0,0.0000,0.2718,0.0825,0.1525,0.0000,0.0990,0.2785,0.0000,0.0050
13,931,TBRG,toxicity,1692732500025800539,17.3600,17,1,17.3650,0.1674,0,0.0000,0.1528,0.0000,0.7083,0.0000,0.0000,0.9506,0.0000,0.0000
13,931,TBRG,baseline,1692732500025800539,17.3600,17,1,17.3650,0.1674,0,0.0000,0.1528,0.0000,0.7083,0.0000,0.0000,0.9506,0.0000,0.0000
13,931,TBRG,baseline,1692732500025831460,17.3600,21,1,17.3650,0.1674,0,0.0000,0.1528,0.0000,0.7083,0.0000,0.0000,0.9608,0.0000,0.0000
13,995,CSGS,toxicity,1692717077650982946,53.5100,16,0,53.5050,0.0500,1,-0.0240,0.0000,0.0000,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
13,995,CSGS,baseline,1692717077650982946,53.5100,16,0,53.5050,0.0500,1,-0.0240,0.0000,0.0000,0.3333,0.0000,0.0000,-1.0000,0.0000,0.0000
13,1017,CTAS,toxicity,1692732457798669462,485.0600,14,1,485.0700,0.2472,0,0.0000,0.1667,0.4444,0.6111,0.0000,0.0000,0.8667,-0.7037,0.0008
13,1017,CTAS,baseline,1692732457798669462,485.0600,14,1,485.0700,0.2472,0,0.0000,0.1667,0.4444,0.6111,0.0000,0.0000,0.8667,-0.7037,0.0008
13,1950,1950,toxicity,1692718240197278464,2.2800,100,0,2.2750,0.1043,1,-0.0300,0.2123,0.0554,0.0554,0.0000,0.0000,0.5000,2.0000,0.0000
13,1950,1950,baseline,1692718240197278464,2.2800,100,0,2.2750,0.1043,1,-0.0300,0.2123,0.0554,0.0554,0.0000,0.0000,0.5000,2.0000,0.0000
13,1974,IDCC,toxicity,1692732468864527472,83.1600,10,0,83.1500,0.0883,0,0.0000,0.2083,0.0000,0.0333,0.0000,0.0000,-1.0000,0.0000,0.0000
13,1974,IDCC,baseline,1692732468864527472,83.1600,10,0,83.1500,0.0883,0,0.0000,0.2083,0.0000,0.0333,0.0000,0.0000,-1.0000,0.0000,0.0000
13,2260,KVHI,toxicity,1692718497623722083,5.2800,3,0,5.2750,0.1433,0,0.0000,0.0667,0.3333,0.3333,0.0000,0.0000,-1.0000,0.1667,0.0009
13,2260,KVHI,baseline,1692718497623722083,5.2800,3,0,5.2750,0.1433,0,0.0000,0.0667,0.3333,0.3333,0.0000,0.0000,-1.0000,0.1667,0.0009
13,2504,MERC,toxicity,1692718691105803982,8.9000,37,0,8.8950,0.1690,0,0.0000,0.3847,0.0268,0.0653,0.0000,0.0000,-1.0000,-0.5000,0.0006
13,2504,MERC,baseline,1692718691105803982,8.9000,37,0,8.8950,0.1690,0,0.0000,0.3847,0.0268,0.0653,0.0000,0.0000,-1.0000,-0.5000,0.0006
13,2555,MKTX,toxicity,1692727909369503475,247.7100,36,1,247.7200,0.2231,0,0.0000,0.2630,0.1815,0.5444,0.0000,0.0000,1.0000,-0.7895,0.0001
13,2555,MKTX,baseline,1692727909369503475,247.7100,36,1,247.7200,0.2231,0,0.0000,0.2630,0.1815,0.5444,0.0000,0.0000,1.0000,-0.7895,0.0001
13,2892,NVMI,toxicity,1692732130610461410,120.8200,1,1,120.8250,0.2183,0,0.0000,0.1778,0.3111,0.5667,0.0000,0.0000,-0.4286,0.0000,0.0000
13,2892,NVMI,baseline,1692732130610461410,120.8200,1,1,120.8250,0.2183,0,0.0000,0.1778,0.3111,0.5667,0.0000,0.0000,-0.4286,0.0000,0.0000
13,3280,PSMT,toxicity,1692728364936043888,78.6700,2,0,78.6650,0.2250,0,0.0000,0.0667,0.5667,0.5667,0.0000,0.0000,-1.0000,-0.8611,0.0017
13,3280,PSMT,toxicity,1692728364936043888,78.6700,6,0,78.6650,0.2250,0,0.0000,0.0667,0.5667,0.5667,0.0000,0.0000,-1.0000,-0.8611,0.0017
13,3280,PSMT,baseline,1692728364936043888,78.6700,2,0,78.6650,0.2250,0,0.0000,0.0667,0.5667,0.5667,0.0000,0.0000,-1.0000,-0.8611,0.0017
13,3280,PSMT,baseline,1692728364936043888,78.6700,6,0,78.6650,0.2250,0,0.0000,0.0667,0.5667,0.5667,0.0000,0.0000,-1.0000,-0.8611,0.0017
13,3505,RUSHA,toxicity,1692727927859652172,62.4400,12,1,62.4500,0.1712,0,0.0000,0.1471,0.2973,0.3529,0.0000,0.0000,0.7143,-0.8000,0.0002
13,3505,RUSHA,baseline,1692727927859652172,62.4400,12,1,62.4500,0.1712,0,0.0000,0.1471,0.2973,0.3529,0.0000,0.0000,0.7143,-0.8000,0.0002
13,3505,RUSHA,baseline,1692727927859667376,62.4400,1,1,62.4500,0.1712,0,0.0000,0.1471,0.2973,0.3529,0.0000,0.0000,0.7241,-0.8000,0.0002
13,3505,RUSHA,baseline,1692727927859676089,62.4400,7,1,62.4500,0.1712,0,0.0000,0.1471,0.2973,0.3529,0.0000,0.0000,0.7778,-0.8000,0.0002
13,3570,3570,toxicity,1692717500766709953,31.7300,3,0,31.7200,0.0708,1,-0.0112,0.0833,0.0000,0.2500,0.0000,0.0000,-1.0000,0.0000,0.0000
