group,symbol_index,ticker,baseline_pnl,toxicity_pnl,improvement,baseline_fills,toxicity_fills,quotes_suppressed,baseline_adverse_pnl,toxicity_adverse_pnl,baseline_inv_var,toxicity_inv_var
11,6,AAME,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,61,61,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,65,65,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,66,66,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,67,67,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,68,68,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,69,69,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,70,70,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,71,71,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,74,74,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,76,76,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,77,77,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,79,ARQ,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,82,82,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,83,83,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,84,84,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,85,85,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,86,86,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,87,87,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,88,88,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,90,90,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,106,AEIS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,115,115,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,135,AGYS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,143,MFIC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,146,AIRT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,158,ALCO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,176,ALOT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,211,211,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,213,ALNT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,222,AMRN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,223,AMSC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,232,AMWD,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,248,ANIK,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,256,HCKT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,257,257,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,267,CLFD,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,299,THRM,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,301,ARKR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,308,AROW,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,319,ARTL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,322,ARTW,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,353,ASTE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,354,VCEL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,358,ASYS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,363,GHI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,365,GNSS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,371,ATLO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,379,379,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,381,ATRO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,391,AUBN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,392,AUDC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,402,402,0.1710,0.1710,0.0000,2,2,0,-0.0016,-0.0016,4140.5000,4140.5000
11,403,SRPT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,416,AWRE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,427,BANR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,437,BBGI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,444,BBSI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,469,BELFA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,482,482,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,505,BJRI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,512,512,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,523,523,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,546,BOKF,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,550,BOOM,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,556,BOSC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,563,BPOPM,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,576,BRID,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,587,BSET,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,590,590,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,592,BSRR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,604,604,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,608,BUSE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,621,BYFC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,623,CAAS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,626,CACC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,643,643,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,644,CAMT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,658,CASH,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,659,CASS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,664,CATY,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,667,CBAN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,693,CCBG,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,703,CCNE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,711,ATLC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,726,CECO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,727,PRDO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,736,CENT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,742,CERS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,746,CEVA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,753,CFFI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,763,CGEN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,769,CHCI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,770,CHCO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,789,CHNR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,798,CHSCP,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,809,809,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,826,826,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,829,829,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,837,CLAR,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,842,CLWT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,846,CMCO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,852,852,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,870,CNOB,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,877,CNMD,-29.4029,-0.6029,28.8000,1,1,1,-0.8352,-0.8352,0.0000,0.0000
11,886,CNTY,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,902,COHU,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,903,COKE,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,906,COLM,0.0169,0.0169,0.0000,1,1,0,0.0000,0.0000,0.0000,0.0000
11,911,911,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,931,TBRG,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,932,CPSS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,940,CRAI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,950,CRESY,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,958,CRIS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,961,CRMT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,963,CRNT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,970,CRVL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1009,CSPI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1015,CSWC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1018,CTBI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1028,1028,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1029,YHGJ,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1036,CTRN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1045,HERZ,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1055,CVCO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1056,CWBC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1057,CVGI,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1059,CVGW,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1060,1060,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1066,1066,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1070,CWCO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1080,LIVN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1081,BGMS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1087,CYTK,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1090,CZNC,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1093,LOAN,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1096,DAIO,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1097,DAKT,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1106,KINS,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1114,DCTH,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1139,DGICA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1140,DGICB,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1144,ELA,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1145,DHIL,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1153,DIOD,0.0000,0.0000,0.0000,0,0,0,0.0000,0.0000,0.0000,0.0000
11,1166,DLTR,16.2523,0.0121,-16.2402,4,1,9,-0.0423,0.0000,2122.2500,0.0000
