symbol|cqs_symbol|symbol_id|exchange_code|listed_market|ticker_designation|lot_size|price_scale_code|system_id|asset_type||
A|A|4541|N|N|A|100|6|4|C||
AA|AA|54151|N|N|A|100|6|3|C||
AAA|AAA|67457|N|P|B|100|6|10|E||
AAAA|AAAA|80651|N|Z|B|100|6|11|E||
AAAC|AAAC|82014|N|P|B|100|6|10|E||
AAAU|AAAU|61426|N|Z|B|100|6|11|E||
AACB|AACB|79891|N|Q|C|100|6|13|O||
AACBR|AACBR|79892|N|Q|C|100|6|13|R||
AACBU|AACBU|79038|N|Q|C|100|6|14|I||
AACG|AACG|26933|N|Q|C|100|6|14|H||
AADR|AADR|35465|N|Q|C|100|6|14|E||
AAEQ|AAEQ|81998|N|Q|C|100|6|14|E||
AAL|AAL|43256|N|Q|C|100|6|13|C||
AALG|AALG|80617|N|Q|C|100|6|13|E||
AAM|AAM|78408|N|N|A|100|6|4|C||
AAM U|AAM.U|78093|N|N|A|100|6|6|I||
AAM WS|AAM.WS|78411|N|N|A|100|6|2|W||
AAME|AAME|6|N|Q|C|100|6|13|C||
AAMI|AAMI|46134|N|N|A|100|6|1|C||
AAOI|AAOI|42753|N|Q|C|100|6|14|C||
AAON|AAON|8|N|Q|C|100|6|13|C||
AAP|AAP|4550|N|N|A|100|6|9|C||
AAPB|AAPB|74377|N|Q|C|100|6|13|E||
AAPD|AAPD|74378|N|Q|C|100|6|13|E||
AAPG|AAPG|79317|N|Q|C|100|6|13|H||
AAPL|AAPL|9|N|Q|C|100|6|14|C||
AAPR|AAPR|77447|N|Z|B|100|6|11|E||
AAPU|AAPU|74379|N|Q|C|100|6|14|E||
AAPW|AAPW|79500|N|Z|B|100|6|10|E||
AAPX|AAPX|76922|N|Z|B|100|6|11|E||
AAPY|AAPY|76521|N|Z|B|100|6|11|E||
AARD|AARD|79454|N|Q|C|100|6|13|C||
AAT|AAT|36352|N|N|A|100|6|6|C||
AAUC|AAUC|80311|N|N|A|100|6|6|C||
AAUM|AAUM|81334|N|Z|B|100|6|11|E||
AAUS|AAUS|80691|N|Q|C|100|6|13|E||
AAVM|AAVM|57232|N|Q|C|100|6|13|E||
AAXJ|AAXJ|28658|N|Q|C|100|6|13|E||
AB|AB|16150|N|N|A|100|6|2|C||
ABAT|ABAT|53193|N|Q|C|100|6|13|C||
ABBV|ABBV|41179|N|N|A|100|6|1|C||
ABCB|ABCB|18|N|N|A|100|6|9|C||
ABCL|ABCL|68458|N|Q|C|100|6|14|C||
ABCS|ABCS|76837|N|Q|C|100|6|14|E||
ABEO|ABEO|16689|N|Q|C|100|6|13|C||
ABEQ|ABEQ|65435|N|P|B|100|6|10|E||
ABEV|ABEV|4571|N|N|A|100|6|8|H||
ABFL|ABFL|53996|N|Z|B|100|6|10|E||
ABG|ABG|4555|N|N|A|100|6|7|C||
ABI|ABI|80504|N|Q|C|100|6|14|E||
ABIG|ABIG|79909|N|Q|C|100|6|14|E||
ABLD|ABLD|72897|N|Z|B|100|6|10|E||
ABLG|ABLG|58896|N|Z|B|100|6|11|E||
ABLS|ABLS|79505|N|Z|B|100|6|11|E||
ABLV|ABLV|74594|N|Q|C|100|6|14|O||
ABLVW|ABLVW|74596|N|Q|C|100|6|14|W||
ABM|ABM|4560|N|N|A|100|6|7|C||
ABNB|ABNB|68435|N|Q|C|100|6|13|C||
ABNG|ABNG|81753|N|Q|C|100|6|14|E||
ABNY|ABNY|77884|N|P|B|100|6|11|E||
ABOS|ABOS|71048|N|Q|C|100|6|14|C||
ABOT|ABOT|68393|N|Z|B|100|6|11|E||
ABP|ABP|73628|N|Q|C|100|6|13|C||
ABPWW|ABPWW|73629|N|Q|C|100|6|13|W||
ABR|ABR|4567|N|N|A|100|6|9|C||
ABR PRD|ABRpD|70789|N|N|A|100|6|5|P||
ABR PRE|ABRpE|71440|N|N|A|100|6|4|P||
ABR PRF|ABRpF|72058|N|N|A|100|6|7|P||
ABSI|ABSI|71216|N|Q|C|100|6|13|C||
ABT|ABT|4570|N|N|A|100|6|2|C||
ABTC|ABTC|81056|N|Q|C|100|6|13|C||
ABTS|ABTS|52168|N|Q|C|100|6|14|O||
ABUS|ABUS|36088|N|Q|C|100|6|13|C||
ABVC|ABVC|54726|N|Q|C|100|6|13|C||
ABVE|ABVE|70109|N|Q|C|100|6|13|C||
ABVEW|ABVEW|70110|N|Q|C|100|6|14|W||
ABVX|ABVX|76502|N|Q|C|100|6|14|H||
ABX|ABX|67482|N|N|A|100|6|4|C||
ABXB|ABXB|68392|N|Z|B|100|6|10|E||
ABXL|ABXL|76671|N|N|A|100|6|9|M||
ACA|ACA|61981|N|N|A|100|6|6|C||
ACAD|ACAD|39|N|Q|C|100|6|13|C||
ACB|ACB|62018|N|Q|C|100|6|14|C||
ACCL|ACCL|81473|N|Q|C|100|6|14|O||
ACCO|ACCO|4554|N|N|A|100|6|8|C||
ACCS|ACCS|27752|N|A|B|100|6|10|C||
ACDC|ACDC|74026|N|Q|C|100|6|14|C||
ACEI|ACEI|81260|N|P|B|100|6|10|E||
ACEL|ACEL|59410|N|N|A|100|6|7|C||
ACEP|ACEP|81846|N|Q|C|100|6|14|E||
ACES|ACES|61210|N|P|B|100|6|11|E||
ACET|ACET|60604|N|Q|C|100|6|13|C||
ACFN|ACFN|17245|N|Q|C|100|6|13|C||
