symbol,cqs_symbol,symbol_id,exchange_code,listed_market,ticker_designation,lot_size,price_scale_code,system_id,asset_type,price_multiplier
A,A,4541,NYSE,NYSE,Tape A,100,6,4,Common Stock,1e-06
AA,AA,54151,NYSE,NYSE,Tape A,100,6,3,Common Stock,1e-06
AAA,AAA,67457,NYSE,NYSE Arca,Tape B,100,6,10,ETF,1e-06
AAAA,AAAA,80651,NYSE,BATS,Tape B,100,6,11,ETF,1e-06
AAAC,AAAC,82014,NYSE,NYSE Arca,Tape B,100,6,10,ETF,1e-06
AAAU,AAAU,61426,NYSE,BATS,Tape B,100,6,11,ETF,1e-06
AACB,AACB,79891,NYSE,NASDAQ,Tape C,100,6,13,Ordinary Shares,1e-06
AACBR,AACBR,79892,NYSE,NASDAQ,Tape C,100,6,13,Rights,1e-06
AACBU,AACBU,79038,NYSE,NASDAQ,Tape C,100,6,14,Units,1e-06
AACG,AACG,26933,NYSE,NASDAQ,Tape C,100,6,14,US Depositary Shares,1e-06
AADR,AADR,35465,NYSE,NASDAQ,Tape C,100,6,14,ETF,1e-06
AAEQ,AAEQ,81998,NYSE,NASDAQ,Tape C,100,6,14,ETF,1e-06
AAL,AAL,43256,NYSE,NASDAQ,Tape C,100,6,13,Common Stock,1e-06
AALG,AALG,80617,NYSE,NASDAQ,Tape C,100,6,13,ETF,1e-06
AAM,AAM,78408,NYSE,NYSE,Tape A,100,6,4,Common Stock,1e-06
AAM U,AAM.U,78093,NYSE,NYSE,Tape A,100,6,6,Units,1e-06
AAM WS,AAM.WS,78411,NYSE,NYSE,Tape A,100,6,2,Warrants,1e-06
AAME,AAME,6,NYSE,NASDAQ,Tape C,100,6,13,Common Stock,1e-06
AAMI,AAMI,46134,NYSE,NYSE,Tape A,100,6,1,Common Stock,1e-06
AAOI,AAOI,42753,NYSE,NASDAQ,Tape C,100,6,14,Common Stock,1e-06
AAON,AAON,8,NYSE,NASDAQ,Tape C,100,6,13,Common Stock,1e-06
AAP,AAP,4550,NYSE,NYSE,Tape A,100,6,9,Common Stock,1e-06
AAPB,AAPB,74377,NYSE,NASDAQ,Tape C,100,6,13,ETF,1e-06
AAPD,AAPD,74378,NYSE,NASDAQ,Tape C,100,6,13,ETF,1e-06
AAPG,AAPG,79317,NYSE,NASDAQ,Tape C,100,6,13,US Depositary Shares,1e-06
AAPL,AAPL,9,NYSE,NASDAQ,Tape C,100,6,14,Common Stock,1e-06
AAPR,AAPR,77447,NYSE,BATS,Tape B,100,6,11,ETF,1e-06
AAPU,AAPU,74379,NYSE,NASDAQ,Tape C,100,6,14,ETF,1e-06
